"Sampling Amount","Fault Rate"
"1","417.402404976401"
"2","71.1615113248134"
"3","63.8282865079454"
"4","72.8735811031257"
"5","262.207139445877"
"6","111.363899640901"
"7","107.505499477095"
"8","100.635457208768"
"9","751.149582415063"
"10","80.0483430236001"
"11","78.8791028935325"
"12","83.0930668991769"
"13","24.6209027427818"
"14","25.7376051294813"
"15","27.4675928289613"
"16","27.3379897865223"
"17","23.24629951067"
"18","24.3073971718183"
"19","24.5651302600517"
"20","20.7073871046006"
