"Sampling Amount","MaxDepth","Fault Rate"
"10","25","14.6344227731018"
"20","25","9.4619243383037"
"30","25","8.23714802440055"
"40","25","7.05908244949584"
"50","25","7.05401097746453"
"60","25","7.39689883716136"
"70","25","6.650871096033"
"80","25","6.88210235920908"
"90","25","6.81752356809737"
"100","25","6.75457954997557"
"110","25","4.25238741505435"
"120","25","4.39507440854284"
"130","25","4.3112107264353"
"140","25","4.32988975748602"
"150","25","4.21334640755521"
"160","25","4.2797358161036"
"170","25","4.21008095401023"
"180","25","4.34605586118441"
"190","25","4.10887525107964"
"200","25","4.20989591550093"
"210","25","4.15781787972223"
"220","25","4.29986178270911"
"230","25","4.23843418800325"
"240","25","4.27020874057427"
"250","25","4.20266853693464"
"260","25","4.30270066363903"
"270","25","4.22050761537726"
"280","25","4.2613160922155"
"290","25","4.25905534079663"
"300","25","4.27196200123516"
"310","25","4.18793214901977"
"320","25","4.23632217640091"
"330","25","4.20593937269084"
"340","25","4.27219429160285"
"350","25","4.25607707503463"
"360","25","4.28581400334965"
"370","25","4.27471127248841"
"380","25","4.29828559271134"
"390","25","4.31998727213403"
"400","25","4.29799346210734"
"410","25","4.3185688133643"
"420","25","4.3727696921367"
"430","25","4.34763370123028"
"440","25","4.33106417941394"
"450","25","4.32861243141529"
"460","25","4.34814115588203"
"470","25","4.33173140671842"
"480","25","4.3588119718085"
"490","25","4.33954546394351"
"500","25","4.38048008936615"
"510","25","4.36666226244416"
"520","25","4.3632933268526"
"530","25","4.34364766068267"
"540","25","4.35897839577336"
"550","25","4.36108797389425"
"560","25","4.36287672476595"
"570","25","4.35787761217578"
